200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
200;500;700
400;100;300
100;500;200
100;200;300
100;100;200
800;100;900
800;100;850
500;400;900
400;200;600
100;555;655
